2024-11-19 18:23:09 INFO  BlockManagerInfo:54 - Added broadcast_4_piece0 in memory on 10.158.82.68:41061 (size: 2.1 KB, free: 366.3 MB)
2024-11-19 18:23:14 INFO  TaskSetManager:54 - Starting task 1.0 in stage 4.0 (TID 7, 10.158.82.68, executor 0, partition 1, NODE_LOCAL, 7642 bytes)
2024-11-19 18:23:14 INFO  TaskSetManager:54 - Finished task 0.0 in stage 4.0 (TID 6) in 4343 ms on 10.158.82.68 (executor 0) (1/2)
2024-11-19 18:23:17 INFO  TaskSetManager:54 - Finished task 1.0 in stage 4.0 (TID 7) in 3256 ms on 10.158.82.68 (executor 0) (2/2)
2024-11-19 18:23:17 INFO  TaskSchedulerImpl:54 - Removed TaskSet 4.0, whose tasks have all completed, from pool 
2024-11-19 18:23:17 INFO  DAGScheduler:54 - ShuffleMapStage 4 (flatMapToPair at ShortestPath.java:66) finished in 7.608 s
2024-11-19 18:23:17 INFO  DAGScheduler:54 - looking for newly runnable stages
2024-11-19 18:23:17 INFO  DAGScheduler:54 - running: Set()
2024-11-19 18:23:17 INFO  DAGScheduler:54 - waiting: Set(ResultStage 5)
2024-11-19 18:23:17 INFO  DAGScheduler:54 - failed: Set()
2024-11-19 18:23:17 INFO  DAGScheduler:54 - Submitting ResultStage 5 (MapPartitionsRDD[11] at filter at ShortestPath.java:21), which has no missing parents
2024-11-19 18:23:17 INFO  MemoryStore:54 - Block broadcast_5 stored as values in memory (estimated size 4.3 KB, free 366.0 MB)
2024-11-19 18:23:17 INFO  MemoryStore:54 - Block broadcast_5_piece0 stored as bytes in memory (estimated size 2.4 KB, free 366.0 MB)
2024-11-19 18:23:17 INFO  BlockManagerInfo:54 - Added broadcast_5_piece0 in memory on cssmpi8h.uwb.edu:34382 (size: 2.4 KB, free: 366.3 MB)
2024-11-19 18:23:17 INFO  SparkContext:54 - Created broadcast 5 from broadcast at DAGScheduler.scala:1039
2024-11-19 18:23:17 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ResultStage 5 (MapPartitionsRDD[11] at filter at ShortestPath.java:21) (first 15 tasks are for partitions Vector(0, 1))
2024-11-19 18:23:17 INFO  TaskSchedulerImpl:54 - Adding task set 5.0 with 2 tasks
2024-11-19 18:23:17 INFO  TaskSetManager:54 - Starting task 0.0 in stage 5.0 (TID 8, 10.158.82.68, executor 0, partition 0, NODE_LOCAL, 7653 bytes)
2024-11-19 18:23:17 INFO  BlockManagerInfo:54 - Added broadcast_5_piece0 in memory on 10.158.82.68:41061 (size: 2.4 KB, free: 366.3 MB)
